Herptile,Mammal,Fruit,Nectar,Fish,Woody,Other,Animal,Plant,Herbaceous,Vertebrate,Invertebrate,Leaf,Seed,Bird,trophic_level,activity_cycle,freshwater,marine,terrestrial_non-volant,terrestrial_volant,habitat_breadth_n,Activity.Nocturnal,Activity.Crepuscular,BodyMass.SpecLevel,Activity.Diurnal,scientific,Order,Family,Genus,DerekDietClassification90InsVertivoreSorting,foraging_stratum,biogeographical_realm,Species,adult_mass_g,dphy_invertebrate,dphy_vertebrate,dphy_plant,adult_body_mass_g,Diet.VertTerrestrial,Diet.VertAll,Diet.AnimalsAll,Diet.PlantHighSugar,Diet.PlantLowSugar,Diet.Vunk,Diet.Seed,BodyMass.Value,Diet.Vect,Diet.Scav,Diet.Nect,Diet.PlantO,Diet.Vend,Diet.Inv,Diet.Fruit,Diet.Vfish,Diet.PlantAll
0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,Chironectes minimus,DIDELPHIMORPHIA,DIDELPHIDAE,Chironectes,,G,Neotropical,minimus,856.0,50.0,30.0,20.0,856.0,0.0,30.0,80.0,0.0,20.0,0.0,0.0,946.0,0.0,0.0,0.0,20.0,0.0,50.0,0.0,30.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,Didelphis aurita,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,,S,Neotropical,aurita,1149.875,20.0,60.0,20.0,1149.875,30.0,30.0,50.0,0.0,20.0,30.0,0.0,1163.99,0.0,30.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,Didelphis imperfecta,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,,S,Neotropical,imperfecta,1030.47,50.0,0.0,50.0,1030.47,0.0,0.0,50.0,50.0,0.0,0.0,0.0,1260.04,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,50.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,Didelphis marsupialis,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,,S,Neotropical,marsupialis,1149.875,20.0,60.0,20.0,1149.875,30.0,30.0,50.0,0.0,20.0,30.0,0.0,1091.16,0.0,30.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,Didelphis pernigra,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,,S,Neotropical,pernigra,1030.47,29.0,14.0,57.0,1030.47,30.0,30.0,50.0,0.0,20.0,30.0,0.0,1260.04,0.0,30.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,Didelphis virginiana,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,O-Generalist,S,"Nearctic, Neotropical",virginiana,1414.5,20.0,60.0,20.0,1414.5,30.0,30.0,50.0,0.0,20.0,30.0,0.0,2195.48,0.0,30.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,Didelphis albiventris,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis,,S,Neotropical,albiventris,1030.47,20.0,60.0,20.0,1030.47,30.0,30.0,50.0,0.0,20.0,30.0,0.0,904.0,0.0,30.0,0.0,20.0,0.0,20.0,0.0,0.0,20.0
,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,Gracilinanus formosus,,,,,,,,68.16,20.0,0.0,70.0,82.01,0.0,0.0,20.0,0.0,20.0,0.0,0.0,75.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,0.0,70.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,Gracilinanus emiliae,DIDELPHIMORPHIA,DIDELPHIDAE,Gracilinanus,,S,Neotropical,emiliae,10.0,50.0,0.0,50.0,10.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,7.6,0.0,0.0,20.0,0.0,0.0,50.0,30.0,0.0,50.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,Gracilinanus microtarsus,DIDELPHIMORPHIA,DIDELPHIDAE,Gracilinanus,,S,Neotropical,microtarsus,24.5,50.0,0.0,50.0,24.5,0.0,0.0,50.0,50.0,0.0,0.0,0.0,31.0,0.0,0.0,20.0,0.0,0.0,50.0,30.0,0.0,50.0
