Species.Name,Common.Name.or.Group,FaName,Eats_terrestrial_verts,Eats_fruit,Eats_arthropods,Eats_terrestrial_inverts,Eats_leaves,Eats_grains_seeds,Eats_nectar,Eats_eggs,Eats_fungi,Eats_lichen,Eats_molluscs,Eats_fish,Eats_marine_mammals,Meyer.Lab.Classification,BMR_per_mass,Diet_breadth,Trophic_level,Faith_diversity,Shannon_diversity
Sorex araneus,Shrew,vs_sorAra2,1,0,1,1,1,0,0,0,0,0,0,0,0,Omnivore,8.05,5,2,NA,NA
Spermophilus dauricus,Mongolian Ground Squirrel ,vs_HLspeDau1,1,0,1,1,1,1,0,1,1,0,0,0,0,Omnivore,NA,NA,NA,NA,NA
Spilogale gracilis,Spotted Skunk,vs_HLspiGra1,1,0,1,0,1,0,0,0,0,0,0,0,0,Omnivore,NA,NA,NA,NA,NA
Suricata suricatta,Slender-tailed Meerkat,vs_HLsurSur2,1,0,1,0,1,0,0,1,0,0,0,0,0,Omnivore,790,1,3,20.6030061,4.741465212
Xerus inauris,African Ground Squirrel,vs_HLxerIna1,1,1,1,0,1,1,0,1,0,0,0,0,0,Omnivore,515.3,4,1,NA,NA
Cebus albifrons,Ring-tailed Monkey,vs_HLcebAlb1,1,1,1,0,1,1,1,1,0,0,1,0,0,Generalist,NA,5,2,NA,NA
Cebus capucinus,Ring-tailed Monkey,vs_cebCap1,1,1,1,0,1,1,1,1,0,0,1,0,0,Generalist,NA,4,2,NA,NA
Delphinapterus leucas,Beluga Whale,vs_HLdelLeu2,0,0,0,0,0,0,0,0,0,0,1,1,0,Piscivore,NA,2,3,NA,NA
Enhydra lutris,Sea Otter,vs_enhLutNer1,0,0,1,0,0,0,0,0,0,0,1,1,0,Piscivore,18000,6,2,NA,NA
Inia geoffrensis,Amazon Dolphin,vs_HLlniGeo1,0,0,0,0,0,0,0,0,0,0,0,1,0,Piscivore,NA,2,3,NA,NA
Leptonychotes weddellii,Weddell seal,vs_lepWed1,0,0,1,0,0,0,0,0,0,0,1,1,0,Piscivore,368000,6,2,NA,NA
Lipotes vexillifer,Chinese River Dolphin,vs_lipVex1,0,0,0,0,0,0,0,0,0,0,0,1,0,Piscivore,NA,2,3,NA,NA
Mesoplodon bidens,Beaked Whale,vs_HLmesBid1,0,0,0,0,0,0,0,0,0,0,1,1,0,Piscivore,NA,NA,NA,NA,NA
Mirounga angustirostris,Elephant Seal,vs_HLmirAng2,0,0,0,0,0,0,0,0,0,0,1,1,0,Piscivore,NA,6,2,NA,NA
Monodon monoceros,Narwal,vs_HLmonMon2,0,0,1,0,0,0,0,0,0,0,1,1,0,Piscivore,NA,2,3,NA,NA
Neomonachus schauinslandi,Hawaiian Monk Seal,vs_neoSch1,0,0,1,0,0,0,0,0,0,0,1,1,0,Piscivore,NA,NA,NA,NA,NA
Neophocaena asiaeorientalis,Finless Porpoise,vs_HLneoAsi1,0,0,1,0,0,0,0,0,0,0,1,1,0,Piscivore,NA,NA,NA,NA,NA
Odobenus rosmarus,Pacific walrus,vs_HLodoRos1,0,0,1,0,0,0,0,0,0,0,1,1,0,Piscivore,NA,6,2,NA,NA
Phocoena phocoena,Common Porpoise,vs_HLphoPho2,0,0,0,0,0,0,0,0,0,0,0,1,0,Piscivore,NA,2,3,NA,NA
Platanista gangetica,Ganges Dolphin,vs_HLplaMin1,0,0,1,0,0,0,0,0,0,0,0,1,0,Piscivore,NA,2,3,NA,NA
Pteronura brasiliensis,Giant Otter,vs_HLpteBra2,0,0,1,0,0,0,0,0,0,0,0,1,0,Piscivore,NA,1,3,30.06082062,5.83321107
Zalophus californianus,California Sea Lion,vs_HLzalCal1,0,0,0,0,0,0,0,0,0,0,1,1,0,Piscivore,NA,6,2,27.198775,4.6522695
Tursiops truncatus,Bottle-nose Dolphin,vs_HLturTru4,0,0,0,0,0,0,0,0,0,0,1,1,0,Piscivore,NA,2,3,NA,NA
Balaenoptera bonaerensis,Antartic Minke Whale,vs_HLbalBon1,0,0,1,0,0,0,0,0,0,0,1,0,0,Planktivore,NA,NA,NA,NA,NA
