Species.Name,Common.Name.or.Group,FaName,Eats_terrestrial_verts,Eats_fruit,Eats_arthropods,Eats_terrestrial_inverts,Eats_leaves,Eats_grains_seeds,Eats_nectar,Eats_eggs,Eats_fungi,Eats_lichen,Eats_molluscs,Eats_fish,Eats_marine_mammals,Meyer.Lab.Classification,BMR_per_mass,Diet_breadth,Trophic_level,Faith_diversity,Shannon_diversity
Hydrochoerus hydrochaeris,Capybara,vs_HLhydHyd1,0,1,0,0,1,1,0,0,0,0,0,0,0,Herbivore,26385,5,1,NA,NA
Indri indri,Indri,vs_HLindInd1,0,1,0,0,1,0,0,0,0,0,0,0,0,Herbivore,NA,4,1,NA,NA
Jaculus jaculus,Lesser Egyptian jerboa,vs_jacJac1,0,0,0,0,1,1,0,0,0,0,0,0,0,Herbivore,75,NA,NA,NA,NA
Loxodonta africana,Elephant,vs_HLloxAfr4,0,1,0,0,1,0,0,0,0,0,0,0,0,Herbivore,NA,4,1,57.40535365,7.112780297
Macroglossus sobrinus,Long-tongued Fruit Bats,vs_HLmacSob1,0,1,0,0,0,0,1,0,0,0,0,0,0,Herbivore,NA,1,1,NA,NA
Meriones unguiculatus,Jird,vs_HLmerUng1,0,1,1,0,1,1,0,0,0,0,0,0,0,Herbivore,70,NA,NA,NA,NA
Microtus ochrogaster,Prairie vole,vs_micOch1,0,0,0,0,1,1,0,0,0,0,0,0,0,Herbivore,47.4,4,2,NA,NA
Moschus moschiferus,Musk Deer,vs_HLmosMos1,0,0,0,0,1,0,0,0,0,1,0,0,0,Herbivore,NA,3,1,NA,NA
Myocastor coypus,Nutria,vs_HLmyoCoy1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,NA,6,2,NA,NA
Nannospalax galili,Mediterranean Blind Mole-rats,vs_nanGal1,0,0,0,0,1,1,0,0,0,0,0,0,0,Herbivore,NA,NA,NA,NA,NA
Nasalis larvatus,Proboscis Monkey,vs_nasLar1,0,1,0,0,1,1,0,0,0,0,0,0,0,Herbivore,NA,4,1,30.18463422,5.88993882
Nomascus leucogenys,Gibbon,vs_HLnomLeu4,0,1,1,0,1,0,0,0,0,0,0,0,0,Herbivore,NA,NA,NA,NA,NA
Ochotona princeps,Pika,vs_ochPri3,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,109,2,1,NA,NA
Octodon degus,Brush-tailed rat,vs_octDeg1,0,1,0,0,1,1,0,0,0,0,0,0,0,Herbivore,200.7,7,2,21.47085333,4.851273
Odocoileus virginianus,White-tailed Deer,vs_HLodoVir3,0,0,0,0,1,0,0,0,1,1,0,0,0,Herbivore,NA,4,1,NA,NA
Okapia johnstoni,Okapia,vs_HLokaJoh2,0,1,0,0,1,1,0,0,0,0,0,0,0,Herbivore,NA,1,1,46.91068681,6.414693676
Oryctolagus cuniculus,Rabbit,vs_HLoryCunCun4,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,NA,2,1,29.02952516,5.642433022
Otolemur garnettii,Bushbaby,vs_otoGar3,0,1,1,0,0,0,1,0,0,0,0,0,0,Herbivore,NA,3,2,NA,NA
Ovis aries,Domestic sheep,vs_HLoviAri5,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,NA,2,1,NA,NA
Ovis canadensis,Bighorn sheep,vs_HLoviCan1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,65000,2,1,65.85253547,7.5900663
Pantholops hodgsonii,Tibetan antelope,vs_panHod1,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,NA,NA,NA,NA,NA
Petromus typicus,Dassie rat,vs_HLpetTyp1,0,1,0,0,1,1,0,0,0,0,0,0,0,Herbivore,NA,3,1,NA,NA
Piliocolobus tephrosceles,Red Colobus Monkey,vs_HLpilTep2,0,1,0,0,1,1,0,0,0,0,0,0,0,Herbivore,NA,NA,NA,NA,NA
Procavia capensis,Hydrax,vs_HLproCap3,0,0,0,0,1,0,0,0,0,0,0,0,0,Herbivore,2325,5,1,27.95833102,5.446953617
Propithecus coquereli,Sifakas,vs_proCoq1,0,1,0,0,1,0,0,0,0,0,0,0,0,Herbivore,NA,NA,NA,NA,NA
Psammomys obesus,Fat sand rat,vs_HLpsaObe1,0,0,0,0,1,1,0,0,0,0,0,0,0,Herbivore,NA,NA,NA,NA,NA
Pteropus alecto,Black flying-fox,vs_pteAle1,0,1,0,0,0,0,0,0,0,0,0,0,0,Herbivore,NA,1,1,NA,NA
