Order,Family,Genus,Species,Binomial,Species.Name,vertebrate,invertebrate,fibrousplant,nonfibrousplant,Adult_bodymass_g,Diet_category,Adult_bodymass_kg,Diet category based on prey type
Artiodactyla,Bovidae,Gazella,leptoceros,Gazella leptoceros,Gazella_leptoceros,0,0,1,0,22200,Fibrous,22.2,Herbivore
Artiodactyla,Bovidae,Gazella,spekei,Gazella spekei,Gazella_spekei,0,0,1,0,20000,Fibrous,20,Herbivore
Artiodactyla,Bovidae,Hippotragus,equinus,Hippotragus equinus,Hippotragus_equinus,0,0,1,1,269997.7,Nonfibrous/Fibrous,269.9977,Herbivore
Artiodactyla,Bovidae,Hippotragus,niger,Hippotragus niger,Hippotragus_niger,0,0,1,1,227499.3,Nonfibrous/Fibrous,227.4993,Herbivore
Artiodactyla,Bovidae,Kobus,ellipsiprymnus,Kobus ellipsiprymnus,Kobus_ellipsiprymnus,0,0,1,0,210000.3,Fibrous,210.0003,Herbivore
Artiodactyla,Bovidae,Kobus,kob,Kobus kob,Kobus_kob,0,0,1,0,78500.1,Fibrous,78.5001,Herbivore
Artiodactyla,Bovidae,Kobus,leche,Kobus leche,Kobus_leche,0,0,1,0,110749,Fibrous,110.749,Herbivore
Artiodactyla,Bovidae,Kobus,megaceros,Kobus megaceros,Kobus_megaceros,0,0,1,0,87500.4,Fibrous,87.5004,Herbivore
Artiodactyla,Bovidae,Kobus,vardonii,Kobus vardonii,Kobus_vardonii,0,0,1,0,71500.7,Fibrous,71.5007,Herbivore
Artiodactyla,Bovidae,Litocranius,walleri,Litocranius walleri,Litocranius_walleri,0,0,1,1,37999.7,Nonfibrous/Fibrous,37.9997,Herbivore
Artiodactyla,Bovidae,Madoqua,guentheri,Madoqua guentheri,Madoqua_guentheri,0,0,1,1,7500,Nonfibrous/Fibrous,7.5,Herbivore
Artiodactyla,Bovidae,Madoqua,kirkii,Madoqua kirkii,Madoqua_kirkii,0,0,1,0,5300.1,Fibrous,5.3001,Herbivore
Artiodactyla,Bovidae,Madoqua,piacentinii,Madoqua piacentinii,Madoqua_piacentinii,0,0,1,1,2500,Nonfibrous/Fibrous,2.5,Herbivore
Artiodactyla,Bovidae,Madoqua,saltiana,Madoqua saltiana,Madoqua_saltiana,0,0,1,1,3250,Nonfibrous/Fibrous,3.25,Herbivore
Artiodactyla,Bovidae,Naemorhedus,goral,Naemorhedus goral,Naemorhedus_goral,0,0,1,0,28500,Fibrous,28.5,Herbivore
Artiodactyla,Bovidae,Nanger,dama,Nanger dama,Nanger_dama,0,0,1,1,72999.5,Nonfibrous/Fibrous,72.9995,Herbivore
Artiodactyla,Bovidae,Nanger,granti,Nanger granti,Nanger_granti,0,0,1,1,54999.7,Nonfibrous/Fibrous,54.9997,Herbivore
Artiodactyla,Bovidae,Nanger,soemmerringii,Nanger soemmerringii,Nanger_soemmerringii,0,0,1,0,40000,Fibrous,40,Herbivore
Artiodactyla,Bovidae,Neotragus,batesi,Neotragus batesi,Neotragus_batesi,0,0,1,1,3000,Nonfibrous/Fibrous,3,Herbivore
Artiodactyla,Bovidae,Neotragus,pygmaeus,Neotragus pygmaeus,Neotragus_pygmaeus,0,0,1,1,4000,Nonfibrous/Fibrous,4,Herbivore
Artiodactyla,Bovidae,Oreamnos,americanus,Oreamnos americanus,Oreamnos_americanus,0,0,1,1,72500.3,Nonfibrous/Fibrous,72.5003,Herbivore
Artiodactyla,Bovidae,Oreotragus,oreotragus,Oreotragus oreotragus,Oreotragus_oreotragus,0,0,1,1,12999.9,Nonfibrous/Fibrous,12.9999,Herbivore
Artiodactyla,Bovidae,Oryx,dammah,Oryx dammah,Oryx_dammah,0,0,1,1,200000,Nonfibrous/Fibrous,200,Herbivore
