Appendix S1. MammalDIET 2 dataset: dietary information for additional 1261 species not covered by Kissling et al. (2014).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binomial,Order,Family,Genus,Species,Animal,Vertebrate,Mammal,Bird,Herptile,Fish,Invertebrate,Plant,Seed,Fruit,Nectar,Root,Leaf,Woody,Herbaceous,Other,TrophicLevel,MammalEater,Insectivore,Frugivore,Granivore,Folivore,Bibliography,,,,,,,,,,,,,,,,,,,,,,,,,
Neacomys pictus,RODENTIA,CRICETIDAE,Neacomys,pictus,1,0,0,0,0,0,1,1,2,2,0,0,0,0,2,0,Omnivore,0,1,1,1,1,"Gardner, A. L. 2007. Mammals of South America. Volume 1. Marsupials, Xenarthrans, Shrews, and Bats. The University of Chicago Press, London.",,,,,,,,,,,,,,,,,,,,,,,,,
Philander frenatus,DIDELPHIMORPHIA,DIDELPHIDAE,Philander,frenatus,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,Omnivore,1,1,1,1,0,"Gardner, A. L. 2007. Mammals of South America. Volume 1. Marsupials, Xenarthrans, Shrews, and Bats. The University of Chicago Press, London.",,,,,,,,,,,,,,,,,,,,,,,,,
Priodontes maximus,CINGULATA,DASYPODIDAE,Priodontes,maximus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Gardner, A. L. 2007. Mammals of South America. Volume 1. Marsupials, Xenarthrans, Shrews, and Bats. The University of Chicago Press, London.",,,,,,,,,,,,,,,,,,,,,,,,,
Sturnira bidens,CHIROPTERA,PHYLLOSTOMIDAE,Sturnira,bidens,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Gardner, A. L. 2007. Mammals of South America. Volume 1. Marsupials, Xenarthrans, Shrews, and Bats. The University of Chicago Press, London.",,,,,,,,,,,,,,,,,,,,,,,,,
Sturnira luisi,CHIROPTERA,PHYLLOSTOMIDAE,Sturnira,luisi,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Gardner, A. L. 2007. Mammals of South America. Volume 1. Marsupials, Xenarthrans, Shrews, and Bats. The University of Chicago Press, London.",,,,,,,,,,,,,,,,,,,,,,,,,
Sturnira mistratensis,CHIROPTERA,PHYLLOSTOMIDAE,Sturnira,mistratensis,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Gardner, A. L. 2007. Mammals of South America. Volume 1. Marsupials, Xenarthrans, Shrews, and Bats. The University of Chicago Press, London.",,,,,,,,,,,,,,,,,,,,,,,,,
Tolypeutes matacus,CINGULATA,DASYPODIDAE,Tolypeutes,matacus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Gardner, A. L. 2007. Mammals of South America. Volume 1. Marsupials, Xenarthrans, Shrews, and Bats. The University of Chicago Press, London.",,,,,,,,,,,,,,,,,,,,,,,,,
Tomopeas ravus,CHIROPTERA,MOLOSSIDAE,Tomopeas,ravus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Gardner, A. L. 2007. Mammals of South America. Volume 1. Marsupials, Xenarthrans, Shrews, and Bats. The University of Chicago Press, London.",,,,,,,,,,,,,,,,,,,,,,,,,
Vampyressa pusilla,CHIROPTERA,PHYLLOSTOMIDAE,Vampyressa,pusilla,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Gardner, A. L. 2007. Mammals of South America. Volume 1. Marsupials, Xenarthrans, Shrews, and Bats. The University of Chicago Press, London.",,,,,,,,,,,,,,,,,,,,,,,,,
Varecia rubra,PRIMATES,LEMURIDAE,Varecia,rubra,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,2,Herbivore,0,0,1,0,1,"Gardner, A. L. 2007. Mammals of South America. Volume 1. Marsupials, Xenarthrans, Shrews, and Bats. The University of Chicago Press, London.",,,,,,,,,,,,,,,,,,,,,,,,,
Apodemus draco,RODENTIA,MURIDAE,Apodemus,draco,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,Omnivore,0,1,1,1,0,"Helin, S.,Ohtaishi, N., Houji, L. 1999. The mammalian of China. China Forestry Publishing House, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,
Dryomys niethammeri,RODENTIA,GLIRIDAE,Dryomys,niethammeri,2,2,0,2,0,0,0,1,1,1,0,0,0,0,0,0,Omnivore,0,0,1,1,0,"Helin, S.,Ohtaishi, N., Houji, L. 1999. The mammalian of China. China Forestry Publishing House, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,
Hystrix brachyura,RODENTIA,HYSTRICIDAE,Hystrix,brachyura,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Herbivore,0,0,1,0,0,"Helin, S.,Ohtaishi, N., Houji, L. 1999. The mammalian of China. China Forestry Publishing House, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,
Lepus comus,LAGOMORPHA,LEPORIDAE,Lepus,comus,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Herbivore,0,0,0,0,1,"Helin, S.,Ohtaishi, N., Houji, L. 1999. The mammalian of China. China Forestry Publishing House, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,
Lepus yarkandensis,LAGOMORPHA,LEPORIDAE,Lepus,yarkandensis,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,Herbivore,0,0,0,0,1,"Helin, S.,Ohtaishi, N., Houji, L. 1999. The mammalian of China. China Forestry Publishing House, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,
Meriones libycus,RODENTIA,MURIDAE,Meriones,libycus,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Herbivore,0,0,0,1,0,"Helin, S.,Ohtaishi, N., Houji, L. 1999. The mammalian of China. China Forestry Publishing House, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,
Microtus kikuchii,RODENTIA,CRICETIDAE,Microtus,kikuchii,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,Herbivore,0,0,0,1,1,"Helin, S.,Ohtaishi, N., Houji, L. 1999. The mammalian of China. China Forestry Publishing House, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,
Nanger dama,CETARTIODACTYLA,BOVIDAE,Nanger,dama,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Herbivore,0,0,0,0,1,"Helin, S.,Ohtaishi, N., Houji, L. 1999. The mammalian of China. China Forestry Publishing House, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,
Parascaptor leucura,EULIPOTYPHLA,TALPIDAE,Parascaptor,leucura,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Helin, S.,Ohtaishi, N., Houji, L. 1999. The mammalian of China. China Forestry Publishing House, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,
Sorex caecutiens,EULIPOTYPHLA,SORICIDAE,Sorex,caecutiens,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Helin, S.,Ohtaishi, N., Houji, L. 1999. The mammalian of China. China Forestry Publishing House, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,
Tupaia belangeri,SCANDENTIA,TUPAIIDAE,Tupaia,belangeri,1,1,1,1,0,0,1,2,2,2,0,0,0,0,0,0,Omnivore,1,1,1,1,0,"Helin, S.,Ohtaishi, N., Houji, L. 1999. The mammalian of China. China Forestry Publishing House, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,
Vampyressa melissa,CHIROPTERA,PHYLLOSTOMIDAE,Vampyressa,melissa,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Helin, S.,Ohtaishi, N., Houji, L. 1999. The mammalian of China. China Forestry Publishing House, Beijing, China.",,,,,,,,,,,,,,,,,,,,,,,,,
Hemiechinus collaris,EULIPOTYPHLA,ERINACEIDAE,Hemiechinus,collaris,1,2,0,0,0,0,1,2,0,2,0,0,0,0,0,0,Omnivore,0,1,1,0,0,"Hoath, R. 2003. A Field Guide to the Mammals of Eygpt.  The American University in Cairo Press, Cairo.",,,,,,,,,,,,,,,,,,,,,,,,,
Sauromys petrophilus,CHIROPTERA,MOLOSSIDAE,Sauromys,petrophilus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Jacobs, D. S. & Fenton, M. B. 2002. Mormopterus petrophilus. Mammalian species, 1-3.",,,,,,,,,,,,,,,,,,,,,,,,,
Funambulus layardi,RODENTIA,SCIURIDAE,Funambulus,layardi,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Jayasekara, P., Weerasinghe, U.R., Wijesundara, S., & Takatsuki, S. 2007. Identifying diurnal and nocturnal frugivores in the terrestrial and arboreal layers of a tropical rain forest in Sri Lanka. Ecotropica, 13, 7-15.",,,,,,,,,,,,,,,,,,,,,,,,,
Petinomys fuscocapillus,RODENTIA,SCIURIDAE,Petinomys,fuscocapillus,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Jayasekara, P., Weerasinghe, U.R., Wijesundara, S., & Takatsuki, S. 2007. Identifying diurnal and nocturnal frugivores in the terrestrial and arboreal layers of a tropical rain forest in Sri Lanka. Ecotropica, 13, 7-15.",,,,,,,,,,,,,,,,,,,,,,,,,
Helogale hirtula,CARNIVORA,HERPESTIDAE,Helogale,hirtula,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,Carnivore,1,1,0,0,0,"Kingdon, J. 1997 The Kingdon Field Guide to African Mammals. Academic Press, London.",,,,,,,,,,,,,,,,,,,,,,,,,
Chrysochloris stuhlmanni,AFROSORICIDA,CHRYSOCHLORIDAE,Chrysochloris,stuhlmanni,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Coleura afra,CHIROPTERA,EMBALLONURIDAE,Coleura,afra,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Crocidura flavescens,EULIPOTYPHLA,SORICIDAE,Crocidura,flavescens,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,1,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Eidolon helvum,CHIROPTERA,PTEROPODIDAE,Eidolon,helvum,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,Herbivore,0,0,1,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Elephantulus rufescens,MACROSCELIDEA,MACROSCELIDIDAE,Elephantulus,rufescens,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,Omnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Epomophorus wahlbergi,CHIROPTERA,PTEROPODIDAE,Epomophorus,wahlbergi,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Epomops franqueti,CHIROPTERA,PTEROPODIDAE,Epomops,franqueti,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Herbivore,0,0,1,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Glauconycteris variegata,CHIROPTERA,VESPERTILIONIDAE,Glauconycteris,variegata,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Hipposideros caffer,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,caffer,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Hipposideros cyclops,CHIROPTERA,HIPPOSIDERIDAE,Hipposideros,cyclops,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Kerivoula africana,CHIROPTERA,VESPERTILIONIDAE,Kerivoula,africana,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Kerivoula argentata,CHIROPTERA,VESPERTILIONIDAE,Kerivoula,argentata,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Kerivoula cuprosa,CHIROPTERA,VESPERTILIONIDAE,Kerivoula,cuprosa,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Kerivoula smithii,CHIROPTERA,VESPERTILIONIDAE,Kerivoula,smithii,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Lavia frons,CHIROPTERA,MEGADERMATIDAE,Lavia,frons,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Micropotamogale ruwenzorii,AFROSORICIDA,TENRECIDAE,Micropotamogale,ruwenzorii,1,2,0,0,2,2,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Miniopterus inflatus,CHIROPTERA,VESPERTILIONIDAE,Miniopterus,inflatus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Miniopterus minor,CHIROPTERA,VESPERTILIONIDAE,Miniopterus,minor,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Myonycteris torquata,CHIROPTERA,PTEROPODIDAE,Myonycteris,torquata,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Myotis bocagii,CHIROPTERA,VESPERTILIONIDAE,Myotis,bocagei,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Myotis capaccinii,CHIROPTERA,VESPERTILIONIDAE,Myotis,capaccinii,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Nycteris hispida,CHIROPTERA,NYCTERIDAE,Nycteris,hispida,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Nycteris macrotis,CHIROPTERA,NYCTERIDAE,Nycteris,macrotis,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Nycteris nana,CHIROPTERA,NYCTERIDAE,Nycteris,nana,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Pteropus voeltzkowi,CHIROPTERA,PTEROPODIDAE,Pteropus,voeltzkowi,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Herbivore,0,0,1,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Rhinolophus landeri,CHIROPTERA,RHINOLOPHIDAE,Rhinolophus,landeri,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Rhinopoma hardwickii,CHIROPTERA,RHINOPOMATIDAE,Rhinopoma,hardwickii,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Scotophilus nigrita,CHIROPTERA,VESPERTILIONIDAE,Scotophilus,nigrita,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Rousettus lanosus,CHIROPTERA,PTEROPODIDAE,Stenonycteris,lanosus,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Herbivore,0,0,1,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Tadarida aloysiisabaudiae,CHIROPTERA,MOLOSSIDAE,Chaerephon,aloysiisabaudiae,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Tadarida ansorgei,CHIROPTERA,MOLOSSIDAE,Chaerephon,ansorgei,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Tadarida bemmeleni,CHIROPTERA,MOLOSSIDAE,Chaerephon,bemmeleni,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Tadarida bivittatus,CHIROPTERA,MOLOSSIDAE,Chaerephon,bivittatus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Tadarida chapini,CHIROPTERA,MOLOSSIDAE,Chaerephon,chapini,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Tadarida fulminans,CHIROPTERA,MOLOSSIDAE,Tadarida,fulminans,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Tadarida jobimena,CHIROPTERA,MOLOSSIDAE,Chaerephon ,jobimena,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Tadarida lobata,CHIROPTERA,MOLOSSIDAE,Tadarida,lobata,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Tadarida major,CHIROPTERA,MOLOSSIDAE,Chaerephon,major,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Taphozous mauritianus,CHIROPTERA,EMBALLONURIDAE,Taphozous,mauritianus,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Carnivore,0,1,0,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Acomys cahirinus,RODENTIA,MURIDAE,Acomys,cahirinus,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,Omnivore,0,1,0,1,1,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Acomys subspinosus,RODENTIA,MURIDAE,Acomys,subspinosus,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,Omnivore,0,1,0,1,1,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Aethomys chrysophilus,RODENTIA,MURIDAE,Aethomys,chrysophilus,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,Herbivore,0,0,1,1,1,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Aethomys kaiseri,RODENTIA,MURIDAE,Aethomys,kaiseri,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,Herbivore,0,0,1,1,1,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Anomalurus beecrofti,RODENTIA,ANOMALURIDAE,Anomalurus,beecrofti,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,Herbivore,0,0,1,0,1,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Anomalurus pusillus,RODENTIA,ANOMALURIDAE,Anomalurus,pusillus,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Herbivore,0,0,1,0,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Atherurus africanus,RODENTIA,HYSTRICIDAE,Atherurus,africanus,0,0,0,0,0,0,0,1,1,1,0,1,2,0,0,0,Herbivore,0,0,1,1,1,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Beamys hindei,RODENTIA,NESOMYIDAE,Beamys,hindei,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,Herbivore,0,0,1,1,0,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Cricetomys emini,RODENTIA,NESOMYIDAE,Cricetomys,emini,2,0,0,0,0,0,2,1,1,1,0,1,1,0,0,0,Omnivore,0,1,1,1,1,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
Cricetomys gambianus,RODENTIA,NESOMYIDAE,Cricetomys,gambianus,2,0,0,0,0,0,2,1,1,1,0,1,1,0,0,0,Omnivore,0,1,1,1,1,"Kingdon, J. 1974. East African Mammals. An Atlas of Evolution in Africa. Vol II Part A (Insectivores and Bats). Academic Press, N.Y.",,,,,,,,,,,,,,,,,,,,,,,,,
