scientific,MSWFamilyLatin,Folivore,MammalEater,Granivore,Family,Frugivore,Plant,Leaf,Insectivore,Invertebrate,Fish,Fruit,Woody,Herbaceous,Animal,Species,Order,Other,Nectar,Mammal,Genus,Herptile,Bird,Vertebrate,Root,Seed,TrophicLevel,phylacine_binomial,adult_mass_g,adult_brain_mass_g,adult_body_length_mm,adult_forearm_length_mm,max_longevity_d,maturity_d,age_first_reproduction_d,gestation_length_d,teat_number_n,litter_size_n,litters_per_year_n,interbirth_interval_d,neonate_mass_g,weaning_age_d,weaning_mass_g,generation_length_d,dispersal_km,density_n_km2,hibernation_torpor,fossoriality,home_range_km2,social_group_n,dphy_invertebrate,dphy_vertebrate,dphy_plant,det_inv,det_vend,det_vect,det_vfish,det_vunk,det_scav,det_fruit,det_nect,det_seed,det_plantother,det_diet_breadth_n,trophic_level,foraging_stratum,activity_cycle,freshwater,marine,terrestrial_non-volant,terrestrial_volant,upper_elevation_m,lower_elevation_m,altitude_breadth_m,island_dwelling,island_endemicity,disected_by_mountains,glaciation,biogeographical_realm,habitat_breadth_n,class,subspecies,common_name,litter_or_clutch_size_n,litters_or_clutches_per_y,adult_body_mass_g,maximum_longevity_y,gestation_d,weaning_d,birth_or_hatching_weight_g,weaning_weight_g,egg_mass_g,incubation_d,fledging_age_d,longevity_y,inter_litter_or_interbirth_interval_y,female_body_mass_g,male_body_mass_g,no_sex_body_mass_g,egg_width_mm,egg_length_mm,fledging_mass_g,adult_svl_cm,male_svl_cm,female_svl_cm,birth_or_hatching_svl_cm,female_svl_at_maturity_cm,female_body_mass_at_maturity_g,no_sex_svl_cm,no_sex_maturity_d,male_maturity_d,genus,female_maturity_d,species,order,family,Scientific_Binomial,CommonName,ZoonomiaName,ZoonomiaTip,HillerName,MSWC_Order,MSWC_Family,MSWC_Genus,MSWC_Species,MedgedDataOrder,Divider,Meyer.Diet.Categorical,Meyer.Lab.Classification,Meyer.Lab.Classification.Clean,Meyer.Lab.Classification.Compressed,MeyerTrophicLevel,DerekDietClassification70,DerekDietClassification90,DerekDietClassification90InsVertivoreSorting,panTheriaTrophicLevel,panTheriaTrophicLevelCharacter,Divider2,DividerSpacer,Diet.VertTerrestrial,Diet.VertAll,Diet.AnimalsAll,Diet.PlantHighSugar,Diet.PlantLowSugar,Diet.PlantAll,Divider3,Laurasiatheria,Domestication,DomesticationBinary,Echolocation,ForStrat.Certainty,Diet.PlantO,Diet.Fruit,BodyMass.Value,Activity.Source,ForStrat.Comment,ForStrat.Value,Diet.Inv,Diet.Vfish,Activity.Diurnal,Diet.Seed,Activity.Crepuscular,Activity.Certainty,BodyMass.SpecLevel,Diet.Vect,Diet.Vend,Activity.Nocturnal,Diet.Vunk,MSW3_ID,Diet.Certainty,BodyMass.Source,Diet.Nect,Diet.Scav,Diet.Source
Scotinomys xerampelinus,Cricetidae,0.0,0.0,0.0,CRICETIDAE,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,xerampelinus,RODENTIA,0.0,0.0,0.0,Scotinomys,0.0,0.0,0.0,0.0,0.0,Carnivore,Scotinomys xerampelinus,15.07,0.52,85.0,,,59.23,89.295,33.353,,3.055,3.71,33.077,1.23,24.272,,,0.832,,0.0,,,,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,G,3.0,0.0,0.0,1.0,0.0,3400.0,2100.0,1300.0,0.0,,0.0,0.0,Neotropical,2.0,Mammalia,-999.0,Long-tailed Singing Mouse,3.055,3.71,15.07,-999.0,33.35262,24.27222,1.23,-999.0,-999.0,-999.0,-999.0,-999.0,0.090622861,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Scotinomys,55.942,xerampelinus,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,0.0,15.0,Ref_1,,G,100.0,0.0,1.0,0.0,0.0,ABC,1.0,0.0,0.0,0.0,0.0,1639.0,ABC,Ref_117,0.0,0.0,Ref_1
Scotinomys teguina,Cricetidae,0.0,0.0,0.0,CRICETIDAE,0.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,teguina,RODENTIA,0.0,0.0,0.0,Scotinomys,0.0,0.0,0.0,0.0,3.0,Carnivore,Scotinomys teguina,12.0,0.42,85.0,,1335.292,38.97,67.652,30.97,,2.625,3.83,30.929,1.23,20.848,,,0.744,,0.0,1.0,,,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,G,3.0,0.0,0.0,1.0,0.0,2900.0,900.0,2000.0,0.0,,0.0,0.0,Neotropical,1.0,Mammalia,-999.0,Short-tailed Singing Mouse,2.625,3.83,12.0,3.658333333,30.97018,20.84824,1.23,-999.0,-999.0,-999.0,-999.0,3.658333333,0.084736482,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,8.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,49.0,Scotinomys,36.681,teguina,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,0.0,0.0,11.25,Ref_1,,G,100.0,0.0,1.0,0.0,0.0,ABC,1.0,0.0,0.0,0.0,0.0,1640.0,ABC,Ref_117,0.0,0.0,Ref_1
Xenomys nelsoni,Cricetidae,0.0,0.0,0.0,CRICETIDAE,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,nelsoni,RODENTIA,0.0,0.0,0.0,Xenomys,0.0,0.0,3.0,0.0,0.0,Omnivore,Xenomys nelsoni,129.99,,165.0,,,,,,,1.6,,,4.995,,,,0.345,,0.0,2.0,,,0.0,0.0,100.0,,,,,,,,,,,,2.0,Ar,1.0,0.0,0.0,1.0,0.0,450.0,0.0,450.0,0.0,,0.0,0.0,Neotropical,1.0,Mammalia,-999.0,Magdalena Woodrat,1.6,-999.0,129.99,-999.0,-999.0,-999.0,4.995,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,121.5,113.0,-999.0,-999.0,-999.0,-999.0,16.5,31.75,31.75,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Xenomys,-999.0,nelsoni,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,30.0,10.0,130.0,Ref_1,,Ar,20.0,0.0,0.0,40.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,1641.0,D2,Ref_117,0.0,0.0,Ref_3
Juscelinomys guaporensis,Cricetidae,0.0,0.0,0.0,CRICETIDAE,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,guaporensis,RODENTIA,0.0,0.0,0.0,Juscelinomys,0.0,0.0,0.0,0.0,0.0,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,80.0,0.0,97.3,Ref_1,,G,20.0,0.0,0.0,0.0,0.0,ABC,0.0,0.0,0.0,1.0,0.0,1642.0,D1,"Ref_2, Ref_3",0.0,0.0,Ref_2
Juscelinomys candango,Cricetidae,0.0,0.0,0.0,CRICETIDAE,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,candango,RODENTIA,0.0,0.0,0.0,Juscelinomys,0.0,0.0,0.0,0.0,0.0,Omnivore,Juscelinomys candango,97.29,,,,,,,,,,,,,,,,0.294,,,1.0,,,20.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,2.0,2.0,G,1.0,0.0,0.0,1.0,0.0,,,,,,,,Neotropical,,Mammalia,-999.0,Candango Akodont,-999.0,-999.0,97.29,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Juscelinomys,-999.0,candango,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,80.0,0.0,97.3,Ref_1,,G,20.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,1643.0,ABC,Ref_117,0.0,0.0,Ref_1
Juscelinomys huanchacae,Cricetidae,0.0,0.0,0.0,CRICETIDAE,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,huanchacae,RODENTIA,0.0,0.0,0.0,Juscelinomys,0.0,0.0,0.0,0.0,0.0,Omnivore,Juscelinomys guaporensis,98.95,,,,,,,,,,,,,,,,0.297,,,,,,42.5,0.5,57.0,,,,,,,,,,,,2.0,G,1.0,0.0,0.0,1.0,0.0,,,,,,,,Neotropical,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juscelinomys,,huanchacae,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,80.0,0.0,97.3,Ref_1,,G,20.0,0.0,0.0,0.0,0.0,ABC,0.0,0.0,0.0,1.0,0.0,1644.0,D1,"Ref_2, Ref_3",0.0,0.0,Ref_2
Juscelinomys huanchacae,Cricetidae,0.0,0.0,0.0,CRICETIDAE,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,huanchacae,RODENTIA,0.0,0.0,0.0,Juscelinomys,0.0,0.0,0.0,0.0,0.0,Omnivore,Juscelinomys huanchacae,98.95,,,,,,,,,,,,,,,,0.297,,,,,,42.5,0.5,57.0,,,,,,,,,,,,2.0,G,1.0,0.0,0.0,1.0,0.0,,,,,,,,Neotropical,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Juscelinomys,,huanchacae,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,80.0,0.0,97.3,Ref_1,,G,20.0,0.0,0.0,0.0,0.0,ABC,0.0,0.0,0.0,1.0,0.0,1644.0,D1,"Ref_2, Ref_3",0.0,0.0,Ref_2
Kunsia tomentosus,Cricetidae,1.0,0.0,0.0,CRICETIDAE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,tomentosus,RODENTIA,0.0,0.0,0.0,Kunsia,0.0,0.0,0.0,1.0,0.0,Herbivore,Kunsia tomentosus,115.6,,287.0,,,,,,,,,,,,,,0.324,,0.0,1.0,,,0.0,0.0,100.0,,,,,,,,,,,,1.0,G,1.0,0.0,0.0,1.0,0.0,,,,0.0,,0.0,0.0,Neotropical,1.0,Mammalia,-999.0,Woolly Kunsia,-999.0,-999.0,115.6,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,28.7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Kunsia,-999.0,tomentosus,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,30.0,10.0,115.6,Ref_1,,G,20.0,0.0,0.0,40.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,1645.0,D2,Ref_117,0.0,0.0,Ref_3
Kunsia fronto,Cricetidae,0.0,0.0,0.0,CRICETIDAE,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,fronto,RODENTIA,0.0,0.0,0.0,Kunsia,0.0,0.0,3.0,0.0,0.0,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mammalia,-999.0,Fossorial Kunsia,-999.0,-999.0,167.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,28.7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Kunsia,-999.0,fronto,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,30.0,10.0,168.0,Ref_1,,G,20.0,0.0,0.0,40.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,1646.0,D2,Ref_117,0.0,0.0,Ref_3
Lenoxus apicalis,Cricetidae,0.0,0.0,0.0,CRICETIDAE,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,apicalis,RODENTIA,0.0,0.0,0.0,Lenoxus,0.0,0.0,3.0,0.0,0.0,Omnivore,Lenoxus apicalis,53.6,,170.0,,,,,,,,,,,,,,0.212,,0.0,,,,59.0,1.0,40.0,,,,,,,,,,,,2.0,G,,0.0,0.0,1.0,0.0,2500.0,1100.0,1400.0,0.0,,0.0,0.0,Neotropical,1.0,Mammalia,-999.0,White-tailed Akodont,-999.0,-999.0,53.6,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,17.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Lenoxus,-999.0,apicalis,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,30.0,10.0,53.6,Ref_3,,G,20.0,0.0,0.0,40.0,0.0,D2,1.0,0.0,0.0,1.0,0.0,1647.0,D2,Ref_117,0.0,0.0,Ref_3
Loxodontomys micropus,Cricetidae,1.0,0.0,0.0,CRICETIDAE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,micropus,RODENTIA,1.0,0.0,0.0,Loxodontomys,0.0,0.0,0.0,0.0,0.0,Herbivore,Loxodontomys micropus,70.76,,,,,68.97,,,,4.16,,,,,,,0.247,227.64,0.0,2.0,,,50.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,1.0,G,1.0,0.0,0.0,1.0,0.0,,,,0.0,,1.0,1.0,Neotropical,1.0,Mammalia,-999.0,Southern Pericote,4.16,-999.0,70.76,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,100.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Loxodontomys,64.921,micropus,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,50.0,0.0,70.76,Ref_1,,G,50.0,0.0,0.0,0.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,1648.0,ABC,Ref_58,0.0,0.0,Ref_1
Loxodontomys pikumche,Cricetidae,1.0,0.0,0.0,CRICETIDAE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pikumche,RODENTIA,1.0,0.0,0.0,Loxodontomys,0.0,0.0,0.0,0.0,0.0,Herbivore,Loxodontomys pikumche,43.0,,,,,,,,,,,,,,,,0.188,,,,,,0.0,0.0,100.0,,,,,,,,,,,,1.0,G,1.0,0.0,0.0,1.0,0.0,,,,,,,,Neotropical,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loxodontomys,,pikumche,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,50.0,0.0,70.76,Ref_1,,G,50.0,0.0,0.0,0.0,0.0,ABC,0.0,0.0,0.0,1.0,0.0,1649.0,D1,"Ref_2, Ref_3",0.0,0.0,Ref_2
Lundomys molitor,Cricetidae,1.0,0.0,0.0,CRICETIDAE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,molitor,RODENTIA,0.0,0.0,0.0,Lundomys,0.0,0.0,0.0,0.0,0.0,Herbivore,Lundomys molitor,238.49,,,,,,,,,2.91,,,,,,,0.482,,0.0,1.0,,1.0,0.0,0.0,100.0,,,,,,,,,,,,1.0,G,1.0,1.0,0.0,1.0,0.0,,,,0.0,,0.0,0.0,Neotropical,2.0,Mammalia,-999.0,Lund's Amphibious Rat,2.91,-999.0,238.49,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Lundomys,-999.0,molitor,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,30.0,10.0,238.49,Ref_1,,G,20.0,0.0,0.0,40.0,0.0,ABC,1.0,0.0,0.0,1.0,0.0,1650.0,D2,Ref_58,0.0,0.0,Ref_3
Megalomys desmarestii,Cricetidae,0.0,0.0,0.0,CRICETIDAE,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,desmarestii,RODENTIA,0.0,0.0,0.0,Megalomys,0.0,0.0,3.0,0.0,0.0,Omnivore,Megalomys desmarestii,288.0,,360.0,,,,,,,,,,,,,,0.535,,,,,,16.0,6.0,78.0,,,,,,,,,,,,2.0,G,,0.0,0.0,1.0,0.0,,,,,,,,Neotropical,,Mammalia,-999.0,Desmarest's Pilorie,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,36.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Megalomys,-999.0,desmarestii,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,30.0,10.0,47.71,Ref_3,,G,20.0,0.0,0.0,40.0,0.0,D2,0.0,0.0,0.0,1.0,0.0,1651.0,D2,"Ref_2, Ref_3",0.0,0.0,Ref_3
Megalomys luciae,Cricetidae,0.0,0.0,0.0,CRICETIDAE,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,luciae,RODENTIA,0.0,0.0,0.0,Megalomys,0.0,0.0,3.0,0.0,0.0,Omnivore,Megalomys luciae,160.0,,,,1091.958,,,,,,,,,,,,0.387,,,,,,16.0,5.0,79.0,,,,,,,,,,,,2.0,G,,0.0,0.0,1.0,0.0,,,,,,,,Neotropical,,Mammalia,-999.0,Santa Lucian Pilorie,-999.0,-999.0,-999.0,2.991666667,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.991666667,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Megalomys,-999.0,luciae,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,30.0,10.0,47.71,Ref_3,,G,20.0,0.0,0.0,40.0,0.0,D2,0.0,0.0,0.0,1.0,0.0,1652.0,D2,"Ref_2, Ref_3",0.0,0.0,Ref_3
Megaoryzomys curioi,Cricetidae,0.0,0.0,0.0,CRICETIDAE,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,curioi,RODENTIA,0.0,0.0,0.0,Megaoryzomys,0.0,0.0,3.0,0.0,0.0,Omnivore,Megaoryzomys curioi,570.0,,,,,,,,,,,,,,,,0.778,,,,,,14.0,6.0,80.0,,,,,,,,,,,,2.0,G,,0.0,0.0,1.0,0.0,,,,,,,,Neotropical,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Megaoryzomys,,curioi,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,30.0,10.0,47.71,Ref_3,,G,20.0,0.0,0.0,40.0,0.0,D2,0.0,0.0,0.0,1.0,0.0,1653.0,D2,"Ref_2, Ref_3",0.0,0.0,Ref_3
Melanomys zunigae,Cricetidae,1.0,0.0,1.0,CRICETIDAE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,zunigae,RODENTIA,0.0,0.0,0.0,Melanomys,0.0,0.0,1.0,0.0,1.0,Omnivore,Melanomys zunigae,53.5,,203.0,,,,,,,,,,,,,,0.212,,0.0,,,,29.0,14.0,57.0,,,,,,,,,,,,2.0,G,,0.0,0.0,1.0,0.0,800.0,600.0,200.0,0.0,,0.0,0.0,Neotropical,2.0,Mammalia,-999.0,Zuniga's Melanomys,-999.0,-999.0,53.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Melanomys,-999.0,zunigae,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,30.0,10.0,53.5,Ref_3,,G,20.0,0.0,0.0,40.0,0.0,D2,1.0,0.0,0.0,1.0,0.0,1654.0,D2,Ref_117,0.0,0.0,Ref_3
Melanomys caliginosus,Cricetidae,0.0,0.0,1.0,CRICETIDAE,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,caliginosus,RODENTIA,0.0,0.0,0.0,Melanomys,0.0,0.0,0.0,0.0,1.0,Omnivore,Melanomys caliginosus,41.0,,169.0,,,,,,,1.45,,,,,,,0.183,,0.0,,,,20.0,0.0,80.0,,,,,,,,,,,,2.0,G,,0.0,0.0,1.0,0.0,,,,0.0,,1.0,0.0,Neotropical,,Mammalia,-999.0,Dusky Melanomys,1.45,-999.0,41.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.9,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Melanomys,-999.0,caliginosus,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,30.0,10.0,41.0,Ref_3,,G,20.0,0.0,0.0,40.0,0.0,D2,1.0,0.0,0.0,1.0,0.0,1655.0,D2,Ref_117,0.0,0.0,Ref_3
Melanomys robustulus,Cricetidae,1.0,0.0,1.0,CRICETIDAE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,robustulus,RODENTIA,0.0,0.0,0.0,Melanomys,0.0,0.0,1.0,0.0,1.0,Omnivore,Melanomys robustulus,53.5,,203.0,,,,,,,,,,,,,,0.212,,0.0,,,,29.0,14.0,57.0,,,,,,,,,,,,2.0,G,,0.0,0.0,1.0,0.0,1200.0,400.0,800.0,0.0,,0.0,0.0,Neotropical,1.0,Mammalia,-999.0,Robust Melanomys,-999.0,-999.0,53.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20.3,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Melanomys,-999.0,robustulus,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,30.0,10.0,53.5,Ref_3,,G,20.0,0.0,0.0,40.0,0.0,D2,1.0,0.0,0.0,1.0,0.0,1656.0,D2,Ref_117,0.0,0.0,Ref_3
Microakodontomys transitorius,Cricetidae,1.0,0.0,0.0,CRICETIDAE,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,transitorius,RODENTIA,0.0,0.0,0.0,Microakodontomys,0.0,0.0,0.0,0.0,0.0,Herbivore,Microakodontomys transitorius,11.2,,,,,,,,,,,,,,,,0.09,,,,,,0.0,0.0,100.0,,,,,,,,,,,,1.0,G,,0.0,0.0,1.0,0.0,,,,,,,,Neotropical,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microakodontomys,,transitorius,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,30.0,10.0,47.71,Ref_3,,G,20.0,0.0,0.0,40.0,0.0,D2,0.0,0.0,0.0,1.0,0.0,1657.0,D2,"Ref_2, Ref_3",0.0,0.0,Ref_3
Abrawayaomys ruschii,Cricetidae,0.0,0.0,0.0,CRICETIDAE,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,ruschii,RODENTIA,0.0,0.0,0.0,Abrawayaomys,0.0,0.0,3.0,0.0,0.0,Omnivore,Abrawayaomys ruschii,62.99,,,,,,,,,,,,,,,,0.232,,0.0,,,,11.0,1.0,88.0,,,,,,,,,,,,2.0,G,,0.0,0.0,1.0,0.0,,,,0.0,,0.0,0.0,Neotropical,1.0,Mammalia,-999.0,Ruschi's Rat,-999.0,-999.0,62.99,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Abrawayaomys,-999.0,ruschii,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,30.0,10.0,63.0,Ref_3,,G,20.0,0.0,0.0,40.0,0.0,D2,1.0,0.0,0.0,1.0,0.0,1658.0,D2,Ref_117,0.0,0.0,Ref_3
Abrothrix andinus,Cricetidae,0.0,0.0,0.0,CRICETIDAE,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,andinus,RODENTIA,0.0,0.0,0.0,Abrothrix,0.0,0.0,0.0,0.0,0.0,Omnivore,Abrothrix andinus,34.65,,140.0,,,,,,,,,,,,,,0.167,,0.0,1.0,,,30.0,0.0,70.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,2.0,2.0,G,2.0,0.0,0.0,1.0,0.0,,,,0.0,,1.0,0.0,Neotropical,2.0,Mammalia,-999.0,Andean Akodont,-999.0,-999.0,34.65,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,14.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Abrothrix,-999.0,andinus,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,70.0,0.0,24.91,Ref_1,,G,30.0,0.0,1.0,0.0,1.0,ABC,1.0,0.0,0.0,1.0,0.0,1659.0,ABC,Ref_58,0.0,0.0,Ref_1
Abrothrix olivaceus,Cricetidae,0.0,0.0,0.0,CRICETIDAE,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,olivaceus,RODENTIA,0.0,0.0,0.0,Abrothrix,0.0,0.0,0.0,0.0,0.0,Omnivore,Abrothrix olivaceus,27.0,,125.563,,365.0,170.38,,,,5.42,2.25,,,,,,0.145,1815.0,0.0,2.0,0.0,,89.0,0.0,11.0,,,,,,,,,,,,2.0,G,2.0,0.0,0.0,1.0,0.0,,,,0.0,,1.0,1.0,Neotropical,3.0,Mammalia,-999.0,Olive-colored Akodont,5.42,2.25,27.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,11.8345,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,Abrothrix,191.716,olivaceus,Rodentia,Cricetidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,70.0,0.0,24.52,Ref_1,,G,30.0,0.0,1.0,0.0,1.0,ABC,1.0,0.0,0.0,1.0,0.0,1660.0,D1,Ref_58,0.0,0.0,Ref_2
